month,pred_d,scenario,level
2026-09-01,0.00318945568199825,Cocoa stays at the August 2026 level,98.0903564564214
2026-10-01,-0.0105618742814869,Cocoa stays at the August 2026 level,97.0597903782073
2026-11-01,-0.010194544380008,Cocoa stays at the August 2026 level,96.0753365926575
2026-12-01,-0.00925804319232153,Cocoa stays at the August 2026 level,95.1899716739057
2027-01-01,-0.00294428724289203,Cocoa stays at the August 2026 level,94.9101172427382
2027-02-01,-0.0080830603700623,Cocoa stays at the August 2026 level,94.1460452156011
2027-03-01,-0.0045434513744916,Cocoa stays at the August 2026 level,93.7192674931405
2027-04-01,0.000382936028063533,Cocoa stays at the August 2026 level,93.7551628495613
2027-05-01,0.00203024123825111,Cocoa stays at the August 2026 level,93.9457018020486
2027-06-01,-0.00944741609538166,Cocoa stays at the August 2026 level,93.0623369944888
2027-07-01,-0.000939739535281361,Cocoa stays at the August 2026 level,92.974923716459
2027-08-01,-0.00193512305639109,Cocoa stays at the August 2026 level,92.7951797673298
2026-09-01,0.00313359433442878,Cocoa 25% lower,98.0848771499683
2026-10-01,-0.00621158746675708,Cocoa 25% lower,97.4775026890805
2026-11-01,-0.0155296204179577,Cocoa 25% lower,95.9754077433188
2026-12-01,-0.011904492886946,Cocoa 25% lower,94.8396429495331
2027-01-01,-0.00492855181666109,Cocoa 25% lower,94.3733708219896
2027-02-01,-0.00803563697647572,Cocoa 25% lower,93.6180594421364
2027-03-01,-0.00445132175810484,Cocoa 25% lower,93.2022614490776
2027-04-01,0.00130148931843662,Cocoa 25% lower,93.3236421675283
2027-05-01,-0.00525924583943861,Cocoa 25% lower,92.8341185815168
2027-06-01,-0.00951067923254169,Cocoa 25% lower,91.9553883422115
2027-07-01,-0.00100793437457284,Cocoa 25% lower,91.8627500398817
2027-08-01,-0.00388614846362293,Cocoa 25% lower,91.5064505197737
2026-09-01,0.00323278510941655,Cocoa 25% higher,98.0946067474826
2026-10-01,-0.0139362188862828,Cocoa 25% higher,96.737020617276
2026-11-01,-0.0060563379096032,Cocoa 25% higher,96.1529190755696
2026-12-01,-0.00720529733228223,Cocoa 25% higher,95.4625986727132
2027-01-01,-0.00140517206632148,Cocoa 25% higher,95.3285514974095
2027-02-01,-0.00811984481189453,Cocoa 25% higher,94.5576325598488
2027-03-01,-0.00461491265675556,Cocoa 25% higher,94.1222627141487
2027-04-01,-0.00032954925660626,Cocoa 25% higher,94.0912499028463
2027-05-01,0.007684406685239,Cocoa 25% higher,94.8170705113452
2027-06-01,-0.00939834539391995,Cocoa 25% higher,93.9301213891321
2027-07-01,-0.000886843508458718,Cocoa 25% higher,93.8468569974293
2027-08-01,-0.000421790180401977,Cocoa 25% higher,93.8072816615169
